name,birthday,gender,is_married,children,membership_start,age,passenger_id
Brett Johal,1975-07-06,male,False,2,2004-02-16,48,1
Jason Martinez,1995-12-17,male,True,1,,28,2
Andrew Stewart,1988-11-22,male,True,3,,35,3
Patrick Alexander,1970-08-14,male,False,2,,53,4
Kevin Neerachapong,1994-04-28,male,False,1,2020-12-24,29,5
Gerald Chadwick,1956-09-02,male,True,2,,67,6
Michelle Kennedy,1983-11-26,female,True,6,,40,7
Susan Crowley,1980-09-16,female,True,2,,43,8
Sara Stewart,1999-04-24,female,False,0,,24,9
Nirvi Wood,1966-11-19,female,True,4,,57,10
Steven Dyer,1982-04-15,male,True,1,1998-07-07,41,11
Jared Chaney,1943-03-01,male,True,3,1979-02-21,80,12
Howard Price,1980-07-01,male,False,3,,43,13
Rebecca Dora,1978-07-30,female,True,1,,45,14
Marcia Hansen,2010-01-01,female,False,0,,14,15
Kyle Arya,2009-12-26,male,False,0,,14,16
Nutkrita Farragher,1995-04-17,female,False,2,2018-11-18,28,17
Erin Mccarthy,1970-04-15,female,False,1,,53,18
Laura Thomas,1929-08-25,female,False,1,,94,19
Shawn Woods,1949-09-24,male,False,0,,74,20
Bryan Roche,1978-05-15,male,True,5,,45,21
Akarsh O'Freil,1983-03-14,female,True,2,,40,22
Lily Walker,1992-02-14,female,True,3,,31,23
Ashley Ward,1951-10-17,female,True,4,,72,24
Yakshit Sparks,1975-03-11,male,True,4,2012-04-02,48,25
Pattamon Cobb,2007-12-16,female,False,0,,16,26
Chanya Davidson,1948-05-23,female,True,1,,75,27
Brittney McMonagle,1981-01-25,female,True,0,,42,28
Angela Andra,1974-06-21,female,True,3,1991-04-17,49,29
Courtney Master,2007-09-14,female,False,0,,16,30
Chaiwut Hayes,1957-07-16,female,False,2,,66,31
Barbara Keller,1994-08-17,female,True,2,,29,32
Desmond Blake,1980-09-30,male,True,3,2018-02-27,43,33
Tiya Turner,2015-09-19,male,False,0,,8,34
